0.13,0.93,0.1
0.15,0.94,0.08
0.17,0.94,0.1
0.17,0.95,0.12
0.17,0.99,0.13
0.23,1,0.09
0.23,1.02,0.11
0.2,1.08,0.12
0.22,1.12,0.1
0.17,1.17,0.07
0.18,1.19,0.01
0.19,1.18,0.03
0.18,1.16,0.19
0.07,1.26,0.32
0.06,1.25,0.29
0.16,1.26,0.19
0.18,1.29,0.15
0.13,1.35,0.11
0.08,1.37,0.08
0.04,1.33,0.11
0.01,1.26,0.13
0,1.18,0.11
0,1.11,0.1
-0.02,1.03,0.07
-0.02,0.97,0.05
-0.02,0.91,0.06
-0.04,0.86,0.08
-0.07,0.82,0.11
-0.09,0.81,0.09
-0.02,0.78,0.08
0.01,0.77,0.03
0.03,0.76,0.04
0.08,0.77,0.02
0.1,0.79,0.06
0.05,0.82,0.07
0.07,0.83,0
0.12,0.82,-0.03
0.11,0.81,0
0.08,0.83,0.08
0.03,0.86,0.16
0.05,0.89,0.15
0.11,0.89,0.09
0.18,0.86,0.05
0.2,0.92,0.09
0.19,0.97,0.14
0.14,1.04,0.14
0.14,1.08,0.13
0.17,1.16,0.1
0.2,1.21,0.06
0.22,1.21,0.04
0.2,1.2,0.14
0.19,1.26,0.19
0.18,1.3,0.27
0.24,1.3,0.18
0.25,1.35,0.1
0.24,1.37,0.07
0.17,1.36,0.05
0.09,1.32,-0.01
0.07,1.25,-0.07
0.07,1.07,-0.03
0.06,1.01,0.02
0.02,0.93,0.09
0.03,0.9,0.06
0.05,0.86,0.04
0.08,0.83,0.02
0.12,0.83,-0.02
0.09,0.83,-0.01
0.01,0.85,0.04
0.05,0.84,0.04
0.08,0.81,0.08
0.08,0.83,0.01
0.08,0.83,0.05
0.05,0.84,0.1
0.07,0.86,0.13
0.11,0.86,0.1
0.15,0.86,0.04
0.17,0.86,0.04
0.17,0.83,0.05
0.18,0.8,0.1
0.18,0.78,0.13
0.19,0.77,0.14
0.22,0.79,0.12
0.2,0.82,0.15
0.18,0.88,0.19
0.2,0.94,0.19
0.2,1.03,0.14
0.22,1.12,0.1
0.25,1.15,0.02
0.28,1.16,-0.01
0.24,1.19,0.03
0.22,1.19,0.09
0.23,1.17,0.14
0.27,1.13,0.17
0.27,1.15,0.21
